1	12 
2	11 
3	15 
4	19 
5	7 
6	25 
7	10 
8	5 
9	12 
10	16 
11	1 
12	1 
13	22 
14	2 
15	9 
16	12 
17	10 
18	6 
19	21 
20	15 
21	22 
22	4 
23	10 
24	23 
25	4 5 16 
26	12 
27	12 
28	3 
29	15 
30	4 
31	11 
32	7 
33	9 
34	3 11 23 
35	23 
36	5 
37	22 
38	13 15 25 
39	5 
40	1 
41	19 
42	11 
43	20 
44	7 
45	12 
46	9 
47	3 
48	12 
49	15 
50	12 
51	19 
52	22 
53	7 20 25 
54	17 
55	11 15 20 
56	9 
57	23 
58	15 
59	25 
60	21 24 25 
61	19 
62	18 
63	10 
64	23 
65	4 9 25 
66	12 
67	25 
68	25 
69	4 
70	25 
71	17 
72	4 8 16 
73	12 
74	11 
75	1 17 19 
76	15 
77	22 
78	22 
79	3 
80	22 
81	9 10 19 
82	4 
83	12 21 23 
84	24 
85	1 
86	19 
87	25 
88	4 
89	1 13 17 
90	19 
91	22 
92	8 
93	23 
94	15 
95	18 
96	7 
97	15 
98	4 
99	18 
100	3 12 24 
101	21 
102	12 
103	7 11 15 
104	3 
105	4 
106	19 
107	14 
108	1 5 19 
109	13 21 22 
110	4 
111	24 
112	1 
113	11 
114	14 
115	20 
116	13 
117	6 14 19 
118	10 
119	25 
120	22 
121	19 
122	13 
123	22 
124	21 
125	22 
126	25 
127	10 
128	18 
129	19 
130	4 
131	10 
132	21 
133	23 
134	4 
135	22 
136	19 
137	7 
138	6 
139	10 
140	22 
141	8 
142	4 
143	5 
144	3 9 21 
145	4 
146	3 
147	1 
148	25 
149	9 
150	1 
151	10 
152	1 
153	19 
154	23 
155	23 
156	6 
157	4 
158	22 
159	25 
160	10 
161	15 
162	5 
163	12 
164	16 
165	12 
166	17 21 22 
167	22 
168	15 
169	6 
170	19 
171	4 
172	15 
173	15 
174	22 
175	5 
176	9 
177	1 
178	1 
179	20 
180	15 
181	1 
182	25 
183	2 
184	1 4 9 
185	21 
186	4 
187	7 9 11 
188	22 
189	19 
190	6 
191	13 
192	15 
193	17 
194	2 
195	5 6 23 
196	19 
197	4 
198	11 
199	3 13 21 
200	8 
201	7 
202	3 
203	7 
204	3 
205	20 
206	19 
207	7 
208	4 10 13 
209	25 
210	23 
211	3 15 22 
212	15 
213	19 
214	5 
215	14 
216	17 
217	6 
218	12 
219	19 
220	15 
221	4 
222	4 
223	19 
224	23 
225	19 
226	15 
227	23 
228	4 
229	23 
230	4 
231	22 
232	19 
233	3 
234	19 
235	24 
236	8 
237	4 14 16 
238	19 
239	13 
240	24 
241	17 
242	21 
243	6 
244	15 
245	19 
246	4 
247	24 
248	16 
249	3 
250	1 
251	19 
252	1 
253	15 
254	7 11 12 
255	4 
256	19 
257	12 
258	1 
259	12 
260	23 
261	12 
262	1 4 17 
263	15 
264	7 
265	15 
266	5 
267	10 
268	14 
269	10 
270	23 
271	12 
272	5 
273	14 
274	16 
275	4 
276	1 
277	22 
278	25 
279	13 
280	13 15 17 
281	22 
282	19 
283	22 
284	10 
285	2 
286	6 
287	22 
288	22 
289	11 
290	4 
291	14 
292	22 
293	13 
294	6 19 20 
295	19 
296	9 
297	1 
298	19 
299	13 
300	2 
301	5 
302	19 
303	13 
